"ad_url","ad_city","ad_neighborhood","ad_type","ad_description","ad_hash","ad_price","ad_currency","ad_kvm","ad_price_per_kvm","ad_street","updated_ts"
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b169625267194762,град София,Център,"2-СТАЕН","ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба ремонтиран двустаен апартамент в Центъра!ДО СМГ!!!Апартамента е с площ от 60 кв.м. и се намира на  първи жилищен етаж в пет етажна тухлена сграда от 2003 година.Жилището има следното функционално разпределение: Хол, спалня, кухня, баня с тоалетна, дълга тераса пред хола и спалнята.Апартамента е основно ремонтиран : PVC дограма, под на  ламинат, стени на латекс, сменени радиатори. Отопление ТЕЦ. Контролиран достъп, прекрасни общи части.Към апартамента има прилежащо мазе с площ от 4,6 кв. м.Отличен имот за живеене и / или инвестиция!За контакти, повече информация и огледи, водещ брокер: Александра Василева , тел. 0898 44 76 49.***СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!ПЕРФЕКТНО изработени и приключени документално имотни сделки!","68a44583e2b65e5a1d0489ab6371675a0166c383687cf5172d36bcefc6fd32b6",156000,EUR,70,2228.57,Център,2023-10-07 09:22:26.000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b169504140474042,град София,Център,"2-СТАЕН","Прекрасно АТЕЛИЕ както за живеене,така и за инвестиция,находящо се на ул.Царибродска и бул.Тодор Александров,в тухлена кооперация а акт 16.Юг/запад изложение,отопление на ток,ЧЖП 54 м.кв.Жилището се продава обзаведено и се състои от:кухня,спалня,баня с тоалетна и голяма тераса.За повече информация:Димо Точков:0886505060","624d766877e37c2288c8716750f79b0761266f4ac47b5f15dca9899a3ef22e7a",118999,EUR,57,2087.70,Център,2023-10-07 09:22:26.000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168864930890939,град София,Център,"2-СТАЕН","Двустаен апартамент със застроена площ от 71 кв.м. Състои се от: антре, дневна с кухненски бокс, спалня; баня с тоалетна и тераса. Гъвкави схеми на плащане.  В близост до метростанция . Проектирана е с функционални двустайни и тристайни апартаменти.Изложение на жилищата: запад /изток. Хидравличен пътнически асансьор KONE. Двуцветна трикамерна ПВЦ дограма с троен стъклопакет/ Четири сезона  и к-емисионно стъкло/. Отопление и топла вода на ТЕЦ с монтирани разводки за климатици в дневните. Охранителна система с видеонаблюдение, осветление с датчици за движение, видеодомофонна система и контрол на достъп.Жилищата се предават на фина мазилка и замазка с монтирана блиндирана входна врата. Ел. инсталация-монтирани ключове, контакти, фасонки, индивидуално апартаментно ел. табло със съответните токови кръгове и автоматични предпазители на 'LEGRAND . Водопроводна инсталация - хоризонтална и вертикална до тапа и монтирани индивидуални водомери с дистанционно отчитане. Вътрешна канализация - хоризонтална и вертикална до тапа. Топлопроводна инсталация- хоризонтална и вертикална с монтирани радиатори и термоглави. Инсталация за кабелна телевизия, интернет и телефон. Етап на строителство: В строеж ! Разрешени за ползване -Декември 2024г. Доказан инвеститор с много качествени сгради в гр.София. Разположението е безупречно в един от най-атрактивните райони за живеене в столицата. Близо до паркове в София, свежест, растителност и комуникативност. За да има баланс и за хората, които обичат динамичното ежедневие, сградата се недалеч от столичен търговски център Mall Sofia. Въпреки комуникативната си локация, ние сме наблегнали на зеленината около сградата, защото какво по-хубаво от това вкъщи да е в непосредствена близост до красивите раззеленени дървета през пролетта, носещи прохлада през лятото, красота през есента и бял уют през зимата. Обади се сега и цитирай този код 582809 Виж по-малко... Виж повече",c067a840fd1cd080774dc7e70e49a27ce24c990917b722469134d9ed6cffee2f,160600,EUR,71,2261.97,Център,2023-10-07 09:22:26.000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168700028264101,град София,Център,"2-СТАЕН"," АСГАРД ПРОПЪРТИС  продава луксозно ремонтиран, дизайнерски обзаведен апартамент в топцентъра на София, Жилището се намира на 4-ти надпартерен етаж и се състои от дневна с кухненски бокс, две преходни спални и баня с тоалетна. Гледа изцяло към тих вътрешен двор. Висок клас PVC дограма, сменени ВиК и ел. инсталации, нови интериорни врати. Прекрасни довършителни работи, оригинални интериорни решения, качествено обзавеждане и оборудване. Отоплението е с климатик. Топлокация на метри от пл. 'Славейков' и градинката на ул. 'Солунска'. Прекрасен имот, изключително подходящ за отдаване под наем. За контакти: 0899/032-036, 02/465-19-50.","6866b0eb7b23ab31c36113fbde0a73b54b85f7cbcf94c9eb5ad7e7016ed87abb",199000,EUR,45,4422.22,ул. Ангел Кънчев,2023-10-07 09:22:26.000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167050230367310,град София,Център,"2-СТАЕН","Компания `ЕКС` представя на Вашето внимание двустаен апартамент в централната част на гр. София.МЕСТОПОЛОЖЕНИЕ: В близост до метростанция, спирки на градски транспорт, училище, хранителни супермаркети.СТРОИТЕЛСТВО: Тухлена кооперация от 1936 г.РАЗПРЕДЕЛЕНИЕ: Жилището разполага с чиста жилищна площ от 60 кв.м. разпределена във входно антре, дневна с трапезария, кухня, спалня, баня с тоалетна и прилежащи мазе с площ 30 кв.м. и таванско помещение с площ от 25 кв.м.СЪСТОЯНИЕ: За ремонт.ОСОБЕНОСТИ: Към жилището има прилежащи 25 % идеални части от парцел с площ 413 кв.м.Заповядайте да Ви го покажем. Използвайки нашите услуги Вие ще превърнете закупуването на новия си дом в едно приятно изживяване, ще получите персонален консултант, съдействие при кандидатстване за кредит от всички банки в България, интериорни дизайнери и екип, който да се погрижи за нужните документи по Вашата сделка. На Ваше разположение сме всеки ден, от понеделник до неделя от 09:00 до 20:00ч. Възползвайте се от безплатна консултация в наш офис, където ще ви спестим време и ще ви запознаем с всички актуални имоти в България, отговарящи на Вашето търсене. Свържете се с нас на 0700 707 97 /на цената на един градски разговор/ или на 0886 12 12 57 и цитирайте кода към имота:  35467. Виж по-малко... Виж повече","87be89c3f5ef93d041e143efe50546c98f1531bc4729e55b899c08c47ef92771",135000,EUR,60,2250.00,Център,2023-10-07 09:22:25.000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168786472992195,град София,Център,"2-СТАЕН","ОписаниеSmart Brokers предлага ексклузивно за продажба просторен двустаен апартамент, разположен в идеален център на града. Жилището е разположено на последен етаж в добре построена сграда с асансьор, реализирана през шестдесетте години на миналия век. Същото е светло и топло. Разполага с две тераси, от които се откриват чудесни гледки към централните и парковите зони на града.Жилището е за ремонт. Всички помещения са проектирани прецизно с прави форми и позволяват реализация на множество индивидуални интериорни проекти.Апартаментът се намира в непосредствена близост до държавни институции, театри, множество заведения, магазини, здравни и учебни заведение. Същият е със статут на ателие.Характеристики:Площ: 100.00 кв.м. (чиста площ: 83.00 кв.м. + 17,00 кв.м.)Разпределение: Обширно входно антре, южен просторен хол с трапезария, кухня и два балкона.Огромно преимущество на този имот са чудесните тераси, на които собствениците могат да се наслаждават на прекрасни вечери на открито, през топлата част на годината.Предимоства:Централна локация в близост до паркова зона;Просторен апартамент;Добре построена сграда с асансьор;Апартаментът е подходящ за инвестиция.При необходимост от финансова подкрепа и кредитиране Smart Finance ще ви съдейства с намирането на най-подходящите условия.Можете да отправите вашето запитване или да получите безплатна консултация на телефонен номер: 0889 80 77 77. Виж по-малко... Виж повече","66b19efac540ff5c3a769e590d74ff9da7501f3826c624c57954ff7f5c532f49",224000,EUR,100,2240.00,Център,2023-10-07 09:22:25.000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168664423518600,град София,Център,"2-СТАЕН","Оферта   4026. Голям двустаен апартамент, разположен на изключително тихо и много комуникативна място в центъра на столицата.Кооперацията носи характеристиките на строителството от 60-те години на миналия век наложили със своята безкомпромистност по отношение на качеството, просторни, високи и светли помещения и наличието на вътрешни дворове. Имотът се състои откухня, хол с преход към спалня, баня с тоалетна.Балконът към кухнята е пристроен допълнително и има стълби, които водят към вътрешен двор.Жилището притежава светли мазе и таван.","7fe0342e8133a9a23f14abb52b91d775b39d9b0fdbbd0554cc9228f0fcf2eef9",130000,EUR,68,1911.76,Център,2023-10-07 09:22:25.000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b162305458728661,град София,Център,"2-СТАЕН","ARCO REAL ESTATE продава двустаен до метро, в сграда със собствен двор, панорамен асансьор, басейн и магазини, завършенен до ключ. Апартаментът се състои от дневна с кухненски бокс,спалня и баня с тоалетна. Ще бъде  предаден с ламинат на пода, латекс на стените, с вътрешни интериорни врати и блиндирана входна врата, баня със санитарен възел завършени и оборудвани със санитария, общи части на гранит.Продавам апартаменти в две реновирани сгради ( ЕПК), намиращи се в непосредствена близост до метростанция, спирки на градския транспорт, болница, жп гара, автогара. В сградата се предлагат: - Двустайни апартаменти ( 40 кв.м. с общи части и застроена площ 31 кв.м), които имат следното разпределение: антре, дневна с кухненски бокс, спалня, баня и тоалетна. Всичките апартаменти, са БЕЗ ТЕРАСИ и се завършват ще бъдат предадени на купувачите в следния вид: * подови настилки - ламиниран паркет, * PVC дограма, * латексово покритие по стените, * баня и тоалетна в завършен вид. Апартаментите са напълно обзаведени с кухненски шкафове, ел.техника, спални комплекти, гардероб и холова част.Сградата е с 15-сантиметрова изолация, нови хоризонтални и вертикални щрангове, качествена хидроизолация на покрива. Изложението е запад-изток. Комплекс, в който се влиза 2 реновирани сгради, магазин и ресторант, свързващи тези 2 блока, външен басейн. Имотът е подходящ и за инвестиция. Добра инвести? Виж по-малко... Виж повече","5995163fd3cb12eaac7991f565b9d3a22e28efa87db5810069ab1ef34a47d867",89900,EUR,41,2192.68,Център,2023-10-07 09:22:25.000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167205871218351,град София,Център,"2-СТАЕН","Unique Estates има удоволствието да Ви представи двустаен апартамент в новостроящ се жилищен комплекс, в сърцето на София. Комплексът се изгражда по модерен проект, осигуряващ хармония между уют, спокойствие и същевременно интензивното ежедневие на съвременния живот. За удобство на живущите е предвидено изграждането на собствен басейн, фитнес зала, богато озеленяване, офиси и магазини. Комплексът ще разполага с 24 часова охрана с контрол на достъпа и видео наблюдение. Възможност за закупуване на подземно паркомясто на цена от 18000 евро без ДДС.Проектът е на Акт 14.Очаква се сградата да бъде въведена в експлоатация с Акт 16 до Декември 2023г. Входно антре, спалня, дневна, баня с тоалетна, лоджия, дрешник Цената е с включен ДДС.  Ref. ID:18978","372787c40b56403cccfb3c7536ddf32a8607ba588e3ece3336a1a27a956d6291",129558,EUR,73,1774.77,Център,2023-10-07 09:22:25.000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b169383293005473,град София,Център,"2-СТАЕН","Представяме на Вашето внимание апартамент в центъра на София. Състои се от входно антре, просторен хол с трапезаря, спалня, кухня, тераса към кухнята и една баня с тоалетна. Чистата квадратура на жилището е 85 кв. м. Жилището разполага с мазе и таван. Сградата е стара, но добре поддържана и е на отлична локация в близост до Докторската градина, жълтите павета, Софийския университет, метростанции и др. Имотът е подходящ както за живеене, така и за инвестиция. Агенция 'Имотен Център Юг' предлага възможност за съдействие при желание от клиента за кредитиране, ремонтни дейности, дизайнерски проекти и обзавеждане на преференциални условия чрез препоръка на фирмата. За повече информация и насрочване на огледи, моля обадете се на посочения телефон.",f57e3785616997785af08ecdd556177dfd8cc8a4e876c0dbcec06d20ba86c450,235000,EUR,97,2422.68,Център,2023-10-07 09:22:24.000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b169339087853355,град София,Център,"2-СТАЕН","'Рея Интернешънъл' предлага за продажба помещеие със статут на магазин, изключително подходящо за живеене. Апартамент-Loft.Лицето е към вътрешен двор.Помещението е на две нива.На кота 0- 50 кв.м.с височина на таваните 4,20м.Кота -1 -32 кв.м. с височина 2,40м.За имотът се влиза през вход на кооперацията, който е в много добро състояние.Изключително подходящ имот в центъра на София, за инвестиция-отдаване под наем за живеене.Водещ офертата Румяна Делева, тел: 0888620610",e552390798aef25350816ee9e6a12d78eb7c2121862dc7b72801656637eecc3b,165000,EUR,82,2012.20,ул. Сердика,2023-10-07 09:22:24.000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168864931677819,град София,Център,"2-СТАЕН","Двустаен апартамент със застроена площ от 63 кв.м. Състои се от: антре, дневна с кухненски бокс, спалня; баня с тоалетна и тераса. Гъвкави схеми на плащане. В близост до метростанция . Проектирана е с функционални двустайни и тристайни апартаменти.Изложение на жилищата: запад /изток. Хидравличен пътнически асансьор KONE. Двуцветна трикамерна ПВЦ дограма с троен стъклопакет/ Четири сезона  и к-емисионно стъкло/. Отопление и топла вода на ТЕЦ с монтирани разводки за климатици в дневните. Охранителна система с видеонаблюдение, осветление с датчици за движение, видеодомофонна система и контрол на достъп.Жилищата се предават на фина мазилка и замазка с монтирана блиндирана входна врата. Ел. инсталация-монтирани ключове, контакти, фасонки, индивидуално апартаментно ел. табло със съответните токови кръгове и автоматични предпазители на 'LEGRAND . Водопроводна инсталация - хоризонтална и вертикална до тапа и монтирани индивидуални водомери с дистанционно отчитане. Вътрешна канализация - хоризонтална и вертикална до тапа. Топлопроводна инсталация- хоризонтална и вертикална с монтирани радиатори и термоглави. Инсталация за кабелна телевизия, интернет и телефон. Етап на строителство: В строеж ! Разрешени за ползване -Декември 2024г. Доказан инвеститор с много качествени сгради в гр.София. Разположението е безупречно в един от най-атрактивните райони за живеене в столицата. Близо до паркове в София, свежест, растителност и комуникативност. За да има баланс и за хората, които обичат динамичното ежедневие, сградата се недалеч от столичен търговски център Mall Sofia. Въпреки комуникативната си локация, ние сме наблегнали на зеленината около сградата, защото какво по-хубаво от това вкъщи да е в непосредствена близост до красивите раззеленени дървета през пролетта, носещи прохлада през лятото, красота през есента и бял уют през зимата. Обади се сега и цитирай този код 582800 Виж по-малко... Виж повече",da9b8b49642029cc4742cd770d52d1250eafdffbe7f54bbc4f8b79de16cf01f4,140900,EUR,63,2236.51,Център,2023-10-07 09:22:24.000
